Battery_ID,Cycle,Capacity,Voltage_mean,Voltage_min,Voltage_max,Current_mean,Temperature_mean,Discharge_time
B0005,1,1.856487,3.529829,2.612467,4.191492,-1.818702,32.572328,3690.234
B0005,2,1.846327,3.53732,2.587209,4.189773,-1.81756,32.725235,3672.344
B0005,3,1.835349,3.543737,2.651917,4.188187,-1.816487,32.642862,3651.641
B0005,4,1.835263,3.543666,2.592948,4.188461,-1.825589,32.514876,3631.563
B0005,5,1.834646,3.542343,2.54742,4.188299,-1.826114,32.382349,3629.172
B0005,6,1.835662,3.541335,2.520948,4.188816,-1.816811,32.434182,3652.281
B0005,7,1.835146,3.541025,2.487927,4.188392,-1.816791,32.480416,3650.828
B0005,8,1.825757,3.554133,2.665205,4.188928,-1.844341,32.410462,3572.453
B0005,9,1.824774,3.552936,2.603858,4.189029,-1.853973,32.346141,3550.594
B0005,10,1.824613,3.551206,2.552854,4.189223,-1.85359,32.276798,3551.25
B0005,11,1.82462,3.549292,2.472448,4.188916,-1.86338,32.157094,3530.25
B0005,12,1.814202,3.559759,2.649564,4.189876,-1.872969,32.364071,3491.016
B0005,13,1.813752,3.558082,2.572498,4.189287,-1.88261,32.318195,3470.281
B0005,14,1.81344,3.555692,2.524989,4.188838,-1.882537,32.15709,3470.0
B0005,15,1.802598,3.562747,2.694622,4.18911,-1.881794,32.04407,3450.297
B0005,16,1.802107,3.561452,2.640101,4.189212,-1.892186,31.931594,3429.407
B0005,17,1.80258,3.560342,2.573904,4.1889,-1.902763,31.941655,3409.484
B0005,18,1.803068,3.559119,2.49424,4.18878,-1.913347,31.965009,3390.422
B0005,19,1.802778,3.557887,2.455679,4.189273,-1.91316,31.966242,3390.281
B0005,20,1.847026,3.552038,2.632143,4.187614,-1.855346,32.371433,3591.734
B0005,21,1.847417,3.552567,2.502776,4.187629,-1.8747,32.70025,3552.297
B0005,22,1.836177,3.556794,2.617508,4.187447,-1.873827,32.322664,3531.578
B0005,23,1.825781,3.56141,2.694074,4.187344,-1.883194,31.987958,3492.907
B0005,24,1.825114,3.556611,2.623767,4.187438,-1.873239,31.894457,3511.594
B0005,25,1.825582,3.558674,2.50108,4.187741,-1.913959,31.780397,3431.937
B0005,26,1.814031,3.564103,2.684999,4.188261,-1.903053,31.688747,3431.125
B0005,27,1.814769,3.559588,2.547109,4.187339,-1.913459,31.596748,3412.406
B0005,28,1.813969,3.556833,2.471315,4.18756,-1.913621,31.565586,3410.688
B0005,29,1.802766,3.562441,2.66139,4.188052,-1.902582,31.591247,3410.718
B0005,30,1.804077,3.559141,2.541762,4.187667,-1.913062,31.603485,3392.719
B0005,31,1.851803,3.557316,2.628919,4.20107,-1.920618,31.915564,3470.672
B0005,32,1.830704,3.561871,2.631255,4.199622,-1.929883,32.081128,3414.109
B0005,33,1.819904,3.561759,2.654881,4.199853,-1.929301,31.849793,3395.219
B0005,34,1.809308,3.559731,2.674969,4.199103,-1.923331,31.46569,3386.0
B0005,35,1.80461,3.557594,2.615971,4.199999,-1.928447,31.409349,3368.187
B0005,36,1.799377,3.559724,2.658447,4.199675,-1.923144,31.902247,3368.266
B0005,37,1.788443,3.559062,2.697943,4.199185,-1.917015,31.649024,3358.719
B0005,38,1.782923,3.557016,2.661727,4.200012,-1.922049,31.488746,3339.5
B0005,39,1.773034,3.556248,2.699288,4.199237,-1.91623,31.329996,3331.265
B0005,40,1.773038,3.553276,2.612793,4.199396,-1.92208,31.569551,3321.188
B0005,41,1.767872,3.556266,2.663706,4.199579,-1.916242,32.111426,3321.844
B0005,42,1.762315,3.55631,2.666845,4.199547,-1.915881,32.271676,3311.828
B0005,43,1.767617,3.558951,2.684431,4.194091,-1.911441,31.842292,3327.391
B0005,44,1.762668,3.553442,2.645224,4.200715,-1.915817,31.759815,3312.078
B0005,45,1.75173,3.551012,2.660353,4.199098,-1.91513,31.419112,3293.172
B0005,46,1.74185,3.551318,2.692685,4.199399,-1.914849,31.331627,3275.328
B0005,47,1.736091,3.549003,2.670545,4.199123,-1.914413,31.359341,3265.016
B0005,48,1.793624,3.559765,2.605158,4.190409,-1.938881,34.310885,3328.937
B0005,49,1.783189,3.562345,2.672012,4.199934,-1.92751,33.435856,3329.266
B0005,50,1.767364,3.558337,2.674271,4.199365,-1.926719,32.666981,3301.579
B0005,51,1.757018,3.554013,2.630942,4.199024,-1.926131,32.284234,3283.563
B0005,52,1.746871,3.552376,2.662973,4.199432,-1.920235,32.007392,3275.125
B0005,53,1.741717,3.549619,2.612942,4.199641,-1.920101,32.063871,3265.656
B0005,54,1.736423,3.549381,2.61572,4.199306,-1.914428,32.437546,3266.093
B0005,55,1.726322,3.547212,2.62877,4.19895,-1.908341,32.168099,3257.594
B0005,56,1.715807,3.546705,2.665511,4.198342,-1.902207,32.057526,3248.593
B0005,57,1.710533,3.54463,2.650495,4.198996,-1.902048,31.975921,3238.766
B0005,58,1.706014,3.543629,2.643236,4.19917,-1.896491,32.216893,3240.14
B0005,59,1.700311,3.544495,2.65645,4.199247,-1.895971,32.55633,3230.109
B0005,60,1.69458,3.54092,2.626178,4.199255,-1.889965,32.400481,3229.781
B0005,61,1.684903,3.541196,2.658223,4.199611,-1.88937,32.293719,3212.469
B0005,62,1.674474,3.540671,2.6951,4.199445,-1.877688,32.136071,3213.219
B0005,63,1.674569,3.537605,2.639092,4.198992,-1.883107,32.382685,3203.578
B0005,64,1.663716,3.538422,2.685721,4.197785,-1.87636,32.309,3195.125
B0005,65,1.659014,3.539286,2.690179,4.201331,-1.870955,32.566369,3195.313
B0005,66,1.653854,3.53369,2.639895,4.19934,-1.87056,32.46543,3186.297
B0005,67,1.642654,3.534368,2.689915,4.198916,-1.864005,32.347056,3176.438
B0005,68,1.637858,3.531294,2.659358,4.198537,-1.863693,32.371539,3167.593
B0005,69,1.632735,3.530913,2.665703,4.198944,-1.85782,32.455493,3167.719
B0005,70,1.627753,3.528723,2.642987,4.19958,-1.857216,32.500172,3159.078
B0005,71,1.622125,3.526255,2.631117,4.198782,-1.856834,32.501003,3148.829
B0005,72,1.611326,3.528684,2.696157,4.199105,-1.844889,32.472893,3149.094
B0005,73,1.606563,3.525557,2.66676,4.198511,-1.844418,32.504802,3140.547
B0005,74,1.601514,3.522681,2.640319,4.198732,-1.843879,32.512183,3131.625
B0005,75,1.590369,3.524673,2.69893,4.1988,-1.837113,32.456928,3121.907
B0005,76,1.585789,3.521316,2.668247,4.198754,-1.831596,32.447059,3122.125
B0005,77,1.584943,3.518034,2.647921,4.20031,-1.83112,32.328897,3121.672
B0005,78,1.595526,3.523684,2.674163,4.201124,-1.84328,32.844885,3120.86
B0005,79,1.57473,3.519147,2.689253,4.19815,-1.829799,32.317316,3103.828
B0005,80,1.564902,3.516234,2.688809,4.198524,-1.823675,32.063761,3095.094
B0005,81,1.559766,3.514773,2.674356,4.198841,-1.817672,32.219976,3095.781
B0005,82,1.559482,3.513299,2.643029,4.19812,-1.817924,32.712023,3094.328
B0005,83,1.554689,3.514485,2.658486,4.19832,-1.817161,32.945022,3086.531
B0005,84,1.548874,3.510968,2.629782,4.198047,-1.81103,32.85755,3085.625
B0005,85,1.538237,3.510936,2.662297,4.199047,-1.809444,32.629663,3067.203
B0005,86,1.527914,3.509393,2.682381,4.19767,-1.802654,32.379859,3058.157
B0005,87,1.528525,3.506678,2.640189,4.197601,-1.803154,32.682159,3058.812
B0005,88,1.522647,3.510989,2.693769,4.197986,-1.796567,32.993874,3058.578
B0005,89,1.517486,3.510305,2.695787,4.198164,-1.795977,33.045397,3049.328
B0005,90,1.605819,3.522222,2.692055,4.22292,-1.822917,32.856296,3177.219
B0005,91,1.563849,3.516349,2.629071,4.200423,-1.829428,33.339502,3082.937
B0005,92,1.548092,3.51344,2.631344,4.198372,-1.816317,33.351565,3074.266
B0005,93,1.532376,3.515138,2.698397,4.198353,-1.803369,33.147486,3066.0
B0005,94,1.526953,3.508304,2.633849,4.197874,-1.802671,33.007276,3056.437
B0005,95,1.516957,3.509191,2.671566,4.197956,-1.795894,32.919908,3048.219
B0005,96,1.511898,3.50681,2.654081,4.197918,-1.795345,32.999033,3039.218
B0005,97,1.506564,3.506091,2.65685,4.197739,-1.789352,33.037723,3039.047
B0005,98,1.501545,3.503716,2.636305,4.197855,-1.788388,33.077403,3030.375
B0005,99,1.490844,3.506748,2.699517,4.197307,-1.781545,33.05468,3021.0
B0005,100,1.485868,3.505881,2.698216,4.197528,-1.775312,33.115704,3021.75
B0005,101,1.480414,3.504168,2.691171,4.197437,-1.774238,33.129421,3012.265
B0005,102,1.47521,3.503057,2.690162,4.197717,-1.77386,33.130681,3002.641
B0005,103,1.485904,3.498232,2.635503,4.192455,-1.78097,33.200692,3012.0
B0005,104,1.496092,3.506586,2.659475,4.202845,-1.78791,33.786975,3020.11
B0005,105,1.480801,3.501457,2.644555,4.197953,-1.780229,33.673365,3002.172
B0005,106,1.469754,3.501658,2.67196,4.198018,-1.773102,33.535818,2992.703
B0005,107,1.453901,3.496619,2.659821,4.192163,-1.770588,33.3227,2964.468
B0005,108,1.454146,3.499165,2.68836,4.196993,-1.760063,33.34623,2983.375
B0005,109,1.455024,3.496081,2.637673,4.197604,-1.765575,33.649489,2975.297
B0005,110,1.449042,3.495901,2.645121,4.196407,-1.758827,33.792695,2974.985
B0005,111,1.438671,3.497587,2.698012,4.197099,-1.751643,33.524467,2966.25
B0005,112,1.433445,3.495699,2.692894,4.196909,-1.75131,33.390423,2956.359
B0005,113,1.433396,3.492875,2.648392,4.197105,-1.751184,33.673702,2956.344
B0005,114,1.428065,3.495511,2.683213,4.196245,-1.744621,33.910806,2956.406
B0005,115,1.42292,3.494233,2.68496,4.196803,-1.743636,33.785068,2947.266
B0005,116,1.417429,3.491197,2.669922,4.196227,-1.742533,33.611268,2937.984
B0005,117,1.412409,3.488909,2.664106,4.196558,-1.741984,33.455986,2929.125
B0005,118,1.412579,3.487376,2.634099,4.196871,-1.742168,33.723267,2928.454
B0005,119,1.407598,3.491994,2.683787,4.196796,-1.735841,34.050076,2929.375
B0005,120,1.433392,3.491586,2.660032,4.189287,-1.756788,33.889347,2946.031
B0005,121,1.438255,3.495576,2.650012,4.201145,-1.757318,34.067649,2955.438
B0005,122,1.417355,3.493899,2.693697,4.196926,-1.742763,33.751681,2937.625
B0005,123,1.406982,3.491592,2.697073,4.196901,-1.735264,33.464823,2929.078
B0005,124,1.401204,3.488573,2.6807,4.196689,-1.734435,33.402107,2918.375
B0005,125,1.396701,3.486902,2.66954,4.196339,-1.728039,33.410689,2919.812
B0005,126,1.391285,3.485549,2.671695,4.196181,-1.732689,33.389849,2900.422
B0005,127,1.386229,3.483891,2.661289,4.195771,-1.726074,33.370043,2901.375
B0005,128,1.380437,3.483199,2.667818,4.195456,-1.719539,33.27216,2901.187
B0005,129,1.375236,3.483627,2.684008,4.196544,-1.718583,33.222444,2891.64
B0005,130,1.370513,3.480172,2.658526,4.194357,-1.717672,33.262077,2882.906
B0005,131,1.370509,3.478452,2.637225,4.195864,-1.717708,33.31203,2883.265
B0005,132,1.364736,3.478578,2.651426,4.195585,-1.710967,33.252879,2882.969
B0005,133,1.375392,3.48252,2.676385,4.188484,-1.718421,33.745054,2891.656
