Battery_ID,Cycle,Voltage_mean,Voltage_min,Voltage_max,Voltage_range,Current_mean,Current_std,Temperature_mean,Temperature_max,Temperature_rise,Cycle_number,SoH,RUL,Reached_EOL
B0005,1,3.529829,2.612467,4.191492,1.579025,-1.818702,0.593546,32.572328,38.982181,14.652147,1,92.82435,124,0
B0005,2,3.53732,2.587209,4.189773,1.602564,-1.81756,0.59518,32.725235,39.033398,14.335646,2,92.31635,123,0
B0005,3,3.543737,2.651917,4.188187,1.53627,-1.816487,0.596498,32.642862,38.818797,14.084531,3,91.76745,122,0
B0005,4,3.543666,2.592948,4.188461,1.595513,-1.825589,0.583462,32.514876,38.762305,14.108068,4,91.76315,121,0
B0005,5,3.542343,2.54742,4.188299,1.640879,-1.826114,0.583469,32.382349,38.665393,14.140596,5,91.7323,120,0
B0005,6,3.541335,2.520948,4.188816,1.667868,-1.816811,0.596702,32.434182,38.751695,14.229398,6,91.7831,119,0
B0005,7,3.541025,2.487927,4.188392,1.700465,-1.816791,0.596492,32.480416,38.820701,14.235823,7,91.7573,118,0
B0005,8,3.554133,2.665205,4.188928,1.523723,-1.844341,0.557383,32.410462,38.51713,13.803501,8,91.28785,117,0
B0005,9,3.552936,2.603858,4.189029,1.585171,-1.853973,0.542484,32.346141,38.526268,13.891056,9,91.2387,116,0
B0005,10,3.551206,2.552854,4.189223,1.636369,-1.85359,0.542335,32.276798,38.526981,13.954924,10,91.23065,115,0
B0005,11,3.549292,2.472448,4.188916,1.716468,-1.86338,0.526741,32.157094,38.541434,14.104718,11,91.231,114,0
B0005,12,3.559759,2.649564,4.189876,1.540312,-1.872969,0.511698,32.364071,38.521975,13.777646,12,90.7101,113,0
B0005,13,3.558082,2.572498,4.189287,1.616789,-1.88261,0.494282,32.318195,38.582486,13.845847,13,90.6876,112,0
B0005,14,3.555692,2.524989,4.188838,1.663849,-1.882537,0.494287,32.15709,38.520294,14.072311,14,90.672,111,0
B0005,15,3.562747,2.694622,4.18911,1.494488,-1.881794,0.495415,32.04407,38.213586,13.741467,15,90.1299,110,0
B0005,16,3.561452,2.640101,4.189212,1.549111,-1.892186,0.477016,31.931594,38.198362,13.872945,16,90.10535,109,0
B0005,17,3.560342,2.573904,4.1889,1.614996,-1.902763,0.457113,31.941655,38.319269,13.956676,17,90.129,108,0
B0005,18,3.559119,2.49424,4.18878,1.69454,-1.913347,0.435894,31.965009,38.478754,14.096334,18,90.1534,107,0
B0005,19,3.557887,2.455679,4.189273,1.733594,-1.91316,0.43619,31.966242,38.54659,14.185141,19,90.1389,106,0
B0005,20,3.552038,2.632143,4.187614,1.555471,-1.855346,0.540058,32.371433,38.447499,13.888784,20,92.3513,105,0
B0005,21,3.552567,2.502776,4.187629,1.684853,-1.8747,0.507888,32.70025,38.992276,14.070169,21,92.37085,104,0
B0005,22,3.556794,2.617508,4.187447,1.569939,-1.873827,0.509021,32.322664,38.514242,13.948276,22,91.80885,103,0
B0005,23,3.56141,2.694074,4.187344,1.49327,-1.883194,0.493049,31.987958,38.165816,13.949235,23,91.28905,102,0
B0005,24,3.556611,2.623767,4.187438,1.563671,-1.873239,0.51045,31.894457,38.165262,14.110271,24,91.2557,101,0
B0005,25,3.558674,2.50108,4.187741,1.686661,-1.913959,0.433682,31.780397,38.275496,14.246718,25,91.2791,100,0
B0005,26,3.564103,2.684999,4.188261,1.503262,-1.903053,0.456092,31.688747,37.982161,14.043746,26,90.70155,99,0
B0005,27,3.559588,2.547109,4.187339,1.64023,-1.913459,0.434873,31.596748,38.111002,14.299468,27,90.73845,98,0
B0005,28,3.556833,2.471315,4.18756,1.716245,-1.913621,0.434914,31.565586,38.188311,14.433546,28,90.69845,97,0
B0005,29,3.562441,2.66139,4.188052,1.526662,-1.902582,0.457356,31.591247,37.998541,14.200858,29,90.1383,96,0
B0005,30,3.559141,2.541762,4.187667,1.645905,-1.913062,0.436209,31.603485,38.194202,14.392901,30,90.20385,95,0
B0005,31,3.557316,2.628919,4.20107,1.572151,-1.920618,0.420528,31.915564,38.457964,14.676667,31,92.59015,94,0
B0005,32,3.561871,2.631255,4.199622,1.568367,-1.929883,0.399294,32.081128,38.491264,14.28722,32,91.5352,93,0
B0005,33,3.561759,2.654881,4.199853,1.544972,-1.929301,0.400285,31.849793,38.314734,14.308409,33,90.9952,92,0
B0005,34,3.559731,2.674969,4.199103,1.524134,-1.923331,0.413516,31.46569,37.861935,14.321944,34,90.4654,91,0
B0005,35,3.557594,2.615971,4.199999,1.584028,-1.928447,0.401941,31.409349,37.906656,14.34056,35,90.2305,90,0
B0005,36,3.559724,2.658447,4.199675,1.541228,-1.923144,0.414501,31.902247,38.340032,14.36112,36,89.96885,89,0
B0005,37,3.559062,2.697943,4.199185,1.501242,-1.917015,0.42729,31.649024,38.074595,14.317004,37,89.42215,88,0
