Feature,B0018_mean,B0005_mean,B0006_mean,Cohen_d_vs_B0005,Cohen_d_vs_B0006,p_value_vs_B0005,p_value_vs_B0006
Voltage_mean,3.4958359545454543,3.516787369047619,3.4637030357142855,-0.6485628939987486,0.6717794186806991,4.337720422801296e-08,4.445692994461765e-09
Voltage_min,2.411580287878788,2.6489385297619044,2.4157790892857145,-4.57147135056761,-0.0683823985806787,4.25642827979434e-49,0.11686429382872544
Voltage_max,4.187965098484848,4.195982392857142,4.181963220238096,-2.204565954855135,1.3616153333841603,1.466792636479455e-34,5.049330685986035e-32
Voltage_range,1.7763848106060607,1.5470438630952381,1.766184130952381,4.510720658531045,0.1672030410237078,4.5172853824198605e-49,0.012997342222171072
Current_mean,-1.834525674242424,-1.8070732857142855,-1.7842229404761905,-0.3941163725885665,-0.4734060938355367,0.014703714506532517,2.4997531807817274e-05
Current_std,0.5565054166666668,0.5921062142857143,0.5791235833333334,-0.3520773134976958,-0.13647171030130067,0.004157314558575324,1.7660198796849872e-05
Temperature_mean,31.094192371212124,32.79131855357142,32.792664583333334,-2.9258397047160623,-2.255803471835292,5.007745590744667e-47,1.0652194217364104e-36
Temperature_max,37.73813249242425,39.84511010119048,39.86925011904762,-2.347442453666144,-1.981491615020374,6.922389280567871e-41,1.6826378379581997e-31
Temperature_rise,14.45327325,15.622809083333333,15.675759482142857,-1.309185362833282,-1.1535114823132193,1.195510939703846e-18,3.078102395375869e-14
Cycle_number,66.5,84.5,84.5,-0.41138155907951446,-0.41138155907951446,0.0014468895551432918,0.0014468895551432918
SoH,77.88503863636365,78.62510386904762,77.3425324404762,-0.08528053391972704,0.0518698368032459,0.6654436259335552,0.25525687208875614
RUL,35.27272727272727,46.13095238095238,35.035714285714285,-0.2931519831977223,0.006918141038001573,0.047573151469963694,0.6240482010194304
