Battery,Target,Feature,Correlation
B0005,SoH,Voltage_mean,0.9823574339801373
B0005,SoH,Voltage_min,-0.4870714637921018
B0005,SoH,Voltage_max,-0.22204616394198706
B0005,SoH,Voltage_range,0.48677030007339506
B0005,SoH,Current_mean,-0.9333205638011313
B0005,SoH,Current_std,-0.9179761530435896
B0005,SoH,Temperature_mean,-0.8097441575355028
B0005,SoH,Temperature_max,-0.9352719176378389
B0005,SoH,Temperature_rise,-0.9790974205355952
B0005,SoH,Cycle_number,-0.9877389275577725
B0005,RUL,Voltage_mean,0.9414185458062467
B0005,RUL,Voltage_min,-0.5374304784879762
B0005,RUL,Voltage_max,-0.3337311998803748
B0005,RUL,Voltage_range,0.528271334853992
B0005,RUL,Current_mean,-0.8621079068798683
B0005,RUL,Current_std,-0.8472181703858516
B0005,RUL,Temperature_mean,-0.80752209927389
B0005,RUL,Temperature_max,-0.9349890514142933
B0005,RUL,Temperature_rise,-0.9673200805333633
B0005,RUL,Cycle_number,-0.9802643665230942
B0006,SoH,Voltage_mean,0.9651893335680125
B0006,SoH,Voltage_min,-0.48971542578367355
B0006,SoH,Voltage_max,0.05315964036286226
B0006,SoH,Voltage_range,0.498621294579317
B0006,SoH,Current_mean,-0.9891405781907605
B0006,SoH,Current_std,-0.9825429776669723
B0006,SoH,Temperature_mean,-0.8228777368430318
B0006,SoH,Temperature_max,-0.8504174511991921
B0006,SoH,Temperature_rise,-0.920110026948068
B0006,SoH,Cycle_number,-0.9816806697123952
B0006,RUL,Voltage_mean,0.9769347015752169
B0006,RUL,Voltage_min,-0.4954275927137586
B0006,RUL,Voltage_max,-0.018002192281552788
B0006,RUL,Voltage_range,0.49815745162482833
B0006,RUL,Current_mean,-0.9413984565932619
B0006,RUL,Current_std,-0.9620138416107058
B0006,RUL,Temperature_mean,-0.8680284323393596
B0006,RUL,Temperature_max,-0.8760201167043543
B0006,RUL,Temperature_rise,-0.9097068801344083
B0006,RUL,Cycle_number,-0.9559487619977699
B0018,SoH,Voltage_mean,0.9855951271444444
B0018,SoH,Voltage_min,0.1176061636806742
B0018,SoH,Voltage_max,0.6059080349574418
B0018,SoH,Voltage_range,-0.09449750516594052
B0018,SoH,Current_mean,-0.9660377941458965
B0018,SoH,Current_std,-0.9421641258405777
B0018,SoH,Temperature_mean,-0.20006922409576552
B0018,SoH,Temperature_max,-0.6952098154000158
B0018,SoH,Temperature_rise,-0.9308144352707063
B0018,SoH,Cycle_number,-0.9695721140268918
B0018,RUL,Voltage_mean,0.9689773768334597
B0018,RUL,Voltage_min,0.1054112951677779
B0018,RUL,Voltage_max,0.5618243618064195
B0018,RUL,Voltage_range,-0.08397287897522855
B0018,RUL,Current_mean,-0.9356478712306385
B0018,RUL,Current_std,-0.9154556343898083
B0018,RUL,Temperature_mean,-0.1793753981170522
B0018,RUL,Temperature_max,-0.6596931079186974
B0018,RUL,Temperature_rise,-0.8922656717763958
B0018,RUL,Cycle_number,-0.9782303408862839
