battery_id,archive,ambient_temp_C,discharge_cycles_total,capacity_missing_or_empty,capacity_zero,capacity_negative,capacity_above_rated_2Ah,last_capacity_Ah,max_capacity_Ah,capacity_fade_pct,final_SOH_pct_of_rated,spearman_rho,frac_increasing_steps,EOL_cycle_literal,EOL_cycle_confirmed,EOL_reliable,first_cycle_artifact,regime_break,regime_break_cycles,anomaly_notes
B0005,1. BatteryAgingARC-FY08Q4,24,168,0,0,0,0,1.3251,1.8565,28.62,66.25,-0.9913,0.2156,125,125,True,False,False,,
B0006,1. BatteryAgingARC-FY08Q4,24,168,0,0,0,7,1.1857,2.0353,41.75,59.28,-0.9934,0.1617,109,109,True,False,False,,7 value(s) above rated 2.0 Ah (max 2.035)
B0007,1. BatteryAgingARC-FY08Q4,24,168,0,0,0,0,1.4325,1.8911,24.25,71.62,-0.9926,0.2814,,,False,False,False,,
B0018,1. BatteryAgingARC-FY08Q4,24,132,0,0,0,0,1.3411,1.855,27.71,67.05,-0.9726,0.1603,97,97,True,False,False,,
B0025,2. BatteryAgingARC_25_26_27_28_P1,24,28,0,0,0,0,1.7678,1.849,4.29,88.39,-0.9447,0.2963,,,False,False,False,,
B0026,2. BatteryAgingARC_25_26_27_28_P1,24,28,0,0,0,0,1.7688,1.8165,2.45,88.44,-0.6782,0.3333,6,,False,False,False,,"first crossing at cycle 6 is spurious (single transient dip, capacity recovers afterwards); confirmed sustained crossing = none"
B0027,2. BatteryAgingARC_25_26_27_28_P1,24,28,0,0,0,0,1.7701,1.8233,2.92,88.5,-0.7061,0.3333,,,False,False,False,,
B0028,2. BatteryAgingARC_25_26_27_28_P1,24,28,0,0,0,0,1.7172,1.8048,4.85,85.86,-0.9535,0.2963,,,False,False,False,,
B0029,3. BatteryAgingARC_25-44,43,40,0,0,0,0,1.6121,1.8447,5.03,80.6,-0.9293,0.2051,,,False,False,False,,
B0030,3. BatteryAgingARC_25-44,43,40,0,0,0,0,1.5628,1.7816,5.63,78.14,-0.9428,0.2308,,,False,False,False,,
B0031,3. BatteryAgingARC_25-44,43,40,0,0,0,0,1.6673,1.8329,-0.04,83.36,-0.8257,0.2308,,,False,False,False,,
B0032,3. BatteryAgingARC_25-44,43,40,0,0,0,0,1.6358,1.894,4.05,81.79,-0.9129,0.2308,,,False,False,False,,
B0033,3. BatteryAgingARC_25-44,24,197,0,0,0,0,1.3153,1.8851,-1822.2,65.76,-0.718,0.4225,1,2,True,True,True,140-147,cycle 1 is a conditioning/partial discharge (0.068 Ah vs 1.253 Ah early plateau) - not true initial capacity; protocol/regime break: 8 contiguous cycles (140-147) collapse to ~0.06-0.1 Ah then recover - not a single degradation trajectory
B0034,3. BatteryAgingARC_25-44,24,197,0,0,0,0,1.2803,1.8203,-71.63,64.01,-0.7913,0.4308,1,76,False,True,False,,cycle 1 is a conditioning/partial discharge (0.746 Ah vs 1.621 Ah early plateau) - not true initial capacity; first crossing at cycle 1 is spurious (cycle-1 conditioning artifact); confirmed sustained crossing = cycle 76
