path,battery_id,archive,size_MB,md5,is_duplicate_copy
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\1. BatteryAgingARC-FY08Q4\B0005.mat,B0005,1. BatteryAgingARC-FY08Q4,15.96,dfe2ff02edb765a418a61ca047f0a33f,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\1. BatteryAgingARC-FY08Q4\B0006.mat,B0006,1. BatteryAgingARC-FY08Q4,16.03,18c199f3d807f9535f7acfc0bb066213,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\1. BatteryAgingARC-FY08Q4\B0007.mat,B0007,1. BatteryAgingARC-FY08Q4,16.05,250310fc53241aa1bccaa0fd6c9d468d,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\1. BatteryAgingARC-FY08Q4\B0018.mat,B0018,1. BatteryAgingARC-FY08Q4,8.5,a6d9116109caf9b5243b8aa0949a54ab,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\2. BatteryAgingARC_25_26_27_28_P1\B0025.mat,B0025,2. BatteryAgingARC_25_26_27_28_P1,2.75,db232e70ab4ea183aaa058b14198b9dd,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\2. BatteryAgingARC_25_26_27_28_P1\B0026.mat,B0026,2. BatteryAgingARC_25_26_27_28_P1,2.76,b59ffb11158f7f14e59b29f0dc0eedf6,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\2. BatteryAgingARC_25_26_27_28_P1\B0027.mat,B0027,2. BatteryAgingARC_25_26_27_28_P1,2.78,61443f2f11fdb64a0afbb17547365fd0,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\2. BatteryAgingARC_25_26_27_28_P1\B0028.mat,B0028,2. BatteryAgingARC_25_26_27_28_P1,2.82,849492a838b6b61ab7b400d177917513,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0025.mat,B0025,3. BatteryAgingARC_25-44,2.75,db232e70ab4ea183aaa058b14198b9dd,True
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0026.mat,B0026,3. BatteryAgingARC_25-44,2.76,b59ffb11158f7f14e59b29f0dc0eedf6,True
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0027.mat,B0027,3. BatteryAgingARC_25-44,2.78,61443f2f11fdb64a0afbb17547365fd0,True
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0028.mat,B0028,3. BatteryAgingARC_25-44,2.82,849492a838b6b61ab7b400d177917513,True
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0029.mat,B0029,3. BatteryAgingARC_25-44,2.88,d091ffaa9dc4e7c481c769b98527d0df,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0030.mat,B0030,3. BatteryAgingARC_25-44,2.88,1d2a92ba5303dc35e2cce9638c9c329c,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0031.mat,B0031,3. BatteryAgingARC_25-44,2.88,dade2c8fc0aa1361c54f7a733a7efb96,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0032.mat,B0032,3. BatteryAgingARC_25-44,2.92,0e68b948d50b59ac6a6f6b677e32f429,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0033.mat,B0033,3. BatteryAgingARC_25-44,11.06,29a25eb61171b456bb1058cc94caea16,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0034.mat,B0034,3. BatteryAgingARC_25-44,11.09,fc188adf9ac257a1ab97449e9ab018b5,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0036.mat,B0036,3. BatteryAgingARC_25-44,11.4,7536804a66dc09cc726733adb68ebbcc,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0038.mat,B0038,3. BatteryAgingARC_25-44,3.7,2b20d48acbcbbbc0f9f63daa565b7570,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0039.mat,B0039,3. BatteryAgingARC_25-44,3.73,9833b2387b293f7fa05b17b4210a9342,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0040.mat,B0040,3. BatteryAgingARC_25-44,3.75,19795ebdd9f588e7ec728333323cb6d0,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0041.mat,B0041,3. BatteryAgingARC_25-44,3.73,40de596f45e62b61d6abd3864592a50d,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0042.mat,B0042,3. BatteryAgingARC_25-44,7.5,30b886c18eab647083d0c8fe306c49c6,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0043.mat,B0043,3. BatteryAgingARC_25-44,7.48,a68ca73016272f70a0745cad9e3287b5,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\3. BatteryAgingARC_25-44\B0044.mat,B0044,3. BatteryAgingARC_25-44,7.51,b03bca53318526a539c99a7114b0f901,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\4. BatteryAgingARC_45_46_47_48\B0045.mat,B0045,4. BatteryAgingARC_45_46_47_48,3.6,c3f2596cf368efd1b10d35a3bf36c67c,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\4. BatteryAgingARC_45_46_47_48\B0046.mat,B0046,4. BatteryAgingARC_45_46_47_48,3.64,64a3c20f01ea300b5d4513e015fd89ce,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\4. BatteryAgingARC_45_46_47_48\B0047.mat,B0047,4. BatteryAgingARC_45_46_47_48,3.72,107d42b010213027937f923a3c33a330,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\4. BatteryAgingARC_45_46_47_48\B0048.mat,B0048,4. BatteryAgingARC_45_46_47_48,3.75,9369d1b049a2dfc4fcb29f797aaba0f6,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\5. BatteryAgingARC_49_50_51_52\B0049.mat,B0049,5. BatteryAgingARC_49_50_51_52,2.18,ff12dcb6336c63bf766ef42d9d535f79,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\5. BatteryAgingARC_49_50_51_52\B0050.mat,B0050,5. BatteryAgingARC_49_50_51_52,2.16,ab2f905f50060db88b987bd95732efb5,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\5. BatteryAgingARC_49_50_51_52\B0051.mat,B0051,5. BatteryAgingARC_49_50_51_52,2.21,77ffe2ac63c6c02a0740777228162c35,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\5. BatteryAgingARC_49_50_51_52\B0052.mat,B0052,5. BatteryAgingARC_49_50_51_52,2.16,bd53017f77b98347f469724eb28745c0,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\6. BatteryAgingARC_53_54_55_56\B0053.mat,B0053,6. BatteryAgingARC_53_54_55_56,3.35,a10fccb5e355c16325090851716a8299,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\6. BatteryAgingARC_53_54_55_56\B0054.mat,B0054,6. BatteryAgingARC_53_54_55_56,7.09,5c00632385a823292326892421829262,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\6. BatteryAgingARC_53_54_55_56\B0055.mat,B0055,6. BatteryAgingARC_53_54_55_56,7.2,40e6376b7edeaa6eddba743baa46e3c3,False
C:\Users\Sal\Downloads\5.+Battery+Data+Set\data\raw\_mat_extracted\6. BatteryAgingARC_53_54_55_56\B0056.mat,B0056,6. BatteryAgingARC_53_54_55_56,7.28,f0af780adbb592c5648bd50f965748e7,False
